name,country,source,rname
Massachusetts Institute of Technology (MIT),,qs,Massachusetts Institute of Technology (MIT)
Stanford University,,qs,Stanford University
Harvard University,,qs,Harvard University
California Institute of Technology (Caltech),,qs,California Institute of Technology (Caltech)
University of Cambridge,,qs,University of Cambridge
University of Oxford,,qs,University of Oxford
UCL (University College London),,qs,UCL (University College London)
Imperial College London,,qs,Imperial College London
University of Chicago,,qs,University of Chicago
ETH Zurich - Swiss Federal Institute of Technology,,qs,ETH Zurich - Swiss Federal Institute of Technology
"Nanyang Technological University, Singapore (NTU)",,qs,"Nanyang Technological University, Singapore (NTU)"
Ecole Polytechnique Fédérale de Lausanne (EPFL),,qs,Ecole Polytechnique Fédérale de Lausanne (EPFL)
Princeton University,,qs,Princeton University
Cornell University,,qs,Cornell University
National University of Singapore (NUS),,qs,National University of Singapore (NUS)
Yale University,,qs,Yale University
Johns Hopkins University,,qs,Johns Hopkins University
Columbia University,,qs,Columbia University
University of Pennsylvania,,qs,University of Pennsylvania
The Australian National University,,qs,The Australian National University
Duke University,,qs,Duke University
University of Michigan,,qs,University of Michigan
King's College London,,qs,King's College London
The University of Edinburgh,,qs,The University of Edinburgh
Tsinghua University,,qs,Tsinghua University
The University of Hong Kong,,qs,The University of Hong Kong
"University of California, Berkeley (UCB)",,qs,"University of California, Berkeley (UCB)"
Northwestern University,,qs,Northwestern University
The University of Tokyo,,qs,The University of Tokyo
The Hong Kong University of Science and Technology,,qs,The Hong Kong University of Science and Technology
University of Toronto,,qs,University of Toronto
McGill University,,qs,McGill University
"University of California, Los Angeles (UCLA)",,qs,"University of California, Los Angeles (UCLA)"
The University of Manchester,,qs,The University of Manchester
London School of Economics and Political Science (LSE),,qs,London School of Economics and Political Science (LSE)
Kyoto University,,qs,Kyoto University
Seoul National University,,qs,Seoul National University
Peking University,,qs,Peking University
"University of California, San Diego (UCSD)",,qs,"University of California, San Diego (UCSD)"
Fudan University,,qs,Fudan University
KAIST - Korea Advanced Institute of Science & Technology,,qs,KAIST - Korea Advanced Institute of Science & Technology
The University of Melbourne,,qs,The University of Melbourne
"Ecole normale supérieure, Paris",,qs,"Ecole normale supérieure, Paris"
University of Bristol,,qs,University of Bristol
The University of New South Wales (UNSW Sydney),,qs,The University of New South Wales (UNSW Sydney)
The Chinese University of Hong Kong (CUHK),,qs,The Chinese University of Hong Kong (CUHK)
Carnegie Mellon University,,qs,Carnegie Mellon University
The University of Queensland,,qs,The University of Queensland
City University of Hong Kong,,qs,City University of Hong Kong
The University of Sydney,,qs,The University of Sydney
University of British Columbia,,qs,University of British Columbia
New York University (NYU),,qs,New York University (NYU)
Brown University,,qs,Brown University
Delft University of Technology,,qs,Delft University of Technology
University of Wisconsin-Madison,,qs,University of Wisconsin-Madison
Tokyo Institute of Technology,,qs,Tokyo Institute of Technology
The University of Warwick,,qs,The University of Warwick
University of Amsterdam,,qs,University of Amsterdam
Ecole Polytechnique,,qs,Ecole Polytechnique
Monash University,,qs,Monash University
University of Washington,,qs,University of Washington
Shanghai Jiao Tong University,,qs,Shanghai Jiao Tong University
Osaka University,,qs,Osaka University
Technical University of Munich,,qs,Technical University of Munich
University of Glasgow,,qs,University of Glasgow
Ludwig-Maximilians-Universität München,,qs,Ludwig-Maximilians-Universität München
University of Texas at Austin,,qs,University of Texas at Austin
Ruprecht-Karls-Universität Heidelberg,,qs,Ruprecht-Karls-Universität Heidelberg
University of Illinois at Urbana-Champaign,,qs,University of Illinois at Urbana-Champaign
Georgia Institute of Technology,,qs,Georgia Institute of Technology
KU Leuven,,qs,KU Leuven
Pohang University of Science And Technology (POSTECH),,qs,Pohang University of Science And Technology (POSTECH)
University of Copenhagen,,qs,University of Copenhagen
University of Zurich,,qs,University of Zurich
Universidad de Buenos Aires (UBA),,qs,Universidad de Buenos Aires (UBA)
National Taiwan University (NTU),,qs,National Taiwan University (NTU)
Tohoku University,,qs,Tohoku University
Durham University,,qs,Durham University
Lund University,,qs,Lund University
"University of North Carolina, Chapel Hill",,qs,"University of North Carolina, Chapel Hill"
Boston University,,qs,Boston University
The University of Auckland,,qs,The University of Auckland
The University of Sheffield,,qs,The University of Sheffield
University of Nottingham,,qs,University of Nottingham
University of Birmingham,,qs,University of Birmingham
The Ohio State University,,qs,The Ohio State University
Zhejiang University,,qs,Zhejiang University
"Trinity College Dublin, The University of Dublin",,qs,"Trinity College Dublin, The University of Dublin"
Rice University,,qs,Rice University
Korea University,,qs,Korea University
University of Alberta,,qs,University of Alberta
University of St Andrews,,qs,University of St Andrews
Pennsylvania State University,,qs,Pennsylvania State University
The University of Western Australia,,qs,The University of Western Australia
Lomonosov Moscow State University,,qs,Lomonosov Moscow State University
The Hong Kong Polytechnic University,,qs,The Hong Kong Polytechnic University
University of Science and Technology of China,,qs,University of Science and Technology of China
KTH Royal Institute of Technology,,qs,KTH Royal Institute of Technology
University of Geneva,,qs,University of Geneva
Washington University in St. Louis,,qs,Washington University in St. Louis
University of Leeds,,qs,University of Leeds
University of Helsinki,,qs,University of Helsinki
University of Southampton,,qs,University of Southampton
Eindhoven University of Technology,,qs,Eindhoven University of Technology
Purdue University,,qs,Purdue University
Yonsei University,,qs,Yonsei University
"KIT, Karlsruhe Institute of Technology",,qs,"KIT, Karlsruhe Institute of Technology"
Sungkyunkwan University (SKKU),,qs,Sungkyunkwan University (SKKU)
Leiden University,,qs,Leiden University
The University of Adelaide,,qs,The University of Adelaide
Utrecht University,,qs,Utrecht University
Uppsala University,,qs,Uppsala University
University of Groningen,,qs,University of Groningen
Nanjing University,,qs,Nanjing University
Universiti Malaya (UM),,qs,Universiti Malaya (UM)
Nagoya University,,qs,Nagoya University
Technical University of Denmark,,qs,Technical University of Denmark
"University of California, Davis",,qs,"University of California, Davis"
Aarhus University,,qs,Aarhus University
Humboldt-Universität zu Berlin,,qs,Humboldt-Universität zu Berlin
Universidade de São Paulo,,qs,Universidade de São Paulo
Hokkaido University,,qs,Hokkaido University
Universidad Nacional Autónoma de México  (UNAM),,qs,Universidad Nacional Autónoma de México  (UNAM)
Wageningen University,,qs,Wageningen University
Freie Universitaet Berlin,,qs,Freie Universitaet Berlin
Ghent University,,qs,Ghent University
Queen Mary University of London,,qs,Queen Mary University of London
Kyushu University,,qs,Kyushu University
"University of Maryland, College Park",,qs,"University of Maryland, College Park"
Université de Montréal,,qs,Université de Montréal
Université Pierre et Marie Curie (UPMC),,qs,Université Pierre et Marie Curie (UPMC)
University of Southern California,,qs,University of Southern California
Chalmers University of Technology,,qs,Chalmers University of Technology
"University of California, Santa Barbara (UCSB)",,qs,"University of California, Santa Barbara (UCSB)"
Lancaster University,,qs,Lancaster University
University of York,,qs,University of York
Aalto University,,qs,Aalto University
Cardiff University,,qs,Cardiff University
Pontificia Universidad Católica de Chile (UC),,qs,Pontificia Universidad Católica de Chile (UC)
McMaster University,,qs,McMaster University
RWTH Aachen University,,qs,RWTH Aachen University
University of Oslo,,qs,University of Oslo
University of Pittsburgh,,qs,University of Pittsburgh
Technische Universität Berlin (TU Berlin),,qs,Technische Universität Berlin (TU Berlin)
The Hebrew University of Jerusalem,,qs,The Hebrew University of Jerusalem
University of Lausanne,,qs,University of Lausanne
Emory University,,qs,Emory University
Erasmus University Rotterdam,,qs,Erasmus University Rotterdam
Michigan State University,,qs,Michigan State University
University of Basel,,qs,University of Basel
University of Otago,,qs,University of Otago
University of Waterloo,,qs,University of Waterloo
Université catholique de Louvain (UCL),,qs,Université catholique de Louvain (UCL)
University of Vienna,,qs,University of Vienna
Hanyang University,,qs,Hanyang University
Universitat de Barcelona,,qs,Universitat de Barcelona
École Normale Supérieure de Lyon,,qs,École Normale Supérieure de Lyon
University of Aberdeen,,qs,University of Aberdeen
The University of Exeter,,qs,The University of Exeter
University of Bath,,qs,University of Bath
National Tsing Hua University,,qs,National Tsing Hua University
Newcastle University,,qs,Newcastle University
University of Minnesota,,qs,University of Minnesota
Eberhard Karls Universität Tübingen,,qs,Eberhard Karls Universität Tübingen
University of Bergen,,qs,University of Bergen
"University of California, Irvine",,qs,"University of California, Irvine"
University of Bern,,qs,University of Bern
University College Dublin,,qs,University College Dublin
Dartmouth College,,qs,Dartmouth College
Politecnico di Milano,,qs,Politecnico di Milano
Albert-Ludwigs-Universitaet Freiburg,,qs,Albert-Ludwigs-Universitaet Freiburg
Indian Institute of Technology Delhi (IITD),,qs,Indian Institute of Technology Delhi (IITD)
King Fahd University of Petroleum & Minerals,,qs,King Fahd University of Petroleum & Minerals
University of Liverpool,,qs,University of Liverpool
University of Virginia,,qs,University of Virginia
University of Technology Sydney,,qs,University of Technology Sydney
CentraleSupélec,,qs,CentraleSupélec
University of Florida,,qs,University of Florida
Indian Institute of Technology Bombay (IITB),,qs,Indian Institute of Technology Bombay (IITB)
University of Twente,,qs,University of Twente
University of Göttingen,,qs,University of Göttingen
Vienna University of Technology,,qs,Vienna University of Technology
Universidade Estadual de Campinas (Unicamp),,qs,Universidade Estadual de Campinas (Unicamp)
University of Colorado Boulder,,qs,University of Colorado Boulder
Vrije Universiteit Brussel (VUB),,qs,Vrije Universiteit Brussel (VUB)
University of Rochester,,qs,University of Rochester
Universidad Autónoma de Madrid,,qs,Universidad Autónoma de Madrid
Alma Mater Studiorum - University of Bologna,,qs,Alma Mater Studiorum - University of Bologna
University of Reading,,qs,University of Reading
Indian Institute of Science,,qs,Indian Institute of Science
University of Cape Town,,qs,University of Cape Town
Keio University,,qs,Keio University
Scuola Normale Superiore di Pisa,,qs,Scuola Normale Superiore di Pisa
Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento,,qs,Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento
Stockholm University,,qs,Stockholm University
Technische Universität Dresden,,qs,Technische Universität Dresden
Texas A&M University,,qs,Texas A&M University
Universitat Autònoma de Barcelona,,qs,Universitat Autònoma de Barcelona
Instituto Tecnológico y de Estudios Superiores de Monterrey,,qs,Instituto Tecnológico y de Estudios Superiores de Monterrey
Maastricht University,,qs,Maastricht University
Universidad de Chile,,qs,Universidad de Chile
Queen's University Belfast,,qs,Queen's University Belfast
Waseda University,,qs,Waseda University
Radboud University,,qs,Radboud University
Tel Aviv University,,qs,Tel Aviv University
Universite libre de Bruxelles,,qs,Universite libre de Bruxelles
National Chiao Tung University,,qs,National Chiao Tung University
"University of Illinois, Chicago (UIC)",,qs,"University of Illinois, Chicago (UIC)"
Arizona State University,,qs,Arizona State University
University of Antwerp,,qs,University of Antwerp
The University of Western Ontario,,qs,The University of Western Ontario
Vanderbilt University,,qs,Vanderbilt University
Case Western Reserve University,,qs,Case Western Reserve University
University of Canterbury,,qs,University of Canterbury
Sapienza University of Rome,,qs,Sapienza University of Rome
University of Notre Dame,,qs,University of Notre Dame
University of Calgary,,qs,University of Calgary
Vrije Universiteit Amsterdam,,qs,Vrije Universiteit Amsterdam
Victoria University of Wellington,,qs,Victoria University of Wellington
Sciences Po,,qs,Sciences Po
King Saud University,,qs,King Saud University
National Cheng Kung University (NCKU),,qs,National Cheng Kung University (NCKU)
Universität Hamburg,,qs,Universität Hamburg
Queen's University at Kingston,,qs,Queen's University at Kingston
Technion - Israel Institute of Technology,,qs,Technion - Israel Institute of Technology
"The University of Newcastle, Australia (UON)",,qs,"The University of Newcastle, Australia (UON)"
Georgetown University,,qs,Georgetown University
University of Sussex,,qs,University of Sussex
Universiti Putra Malaysia (UPM),,qs,Universiti Putra Malaysia (UPM)
Universiti Kebangsaan Malaysia (UKM),,qs,Universiti Kebangsaan Malaysia (UKM)
The University of Arizona,,qs,The University of Arizona
University of Wollongong,,qs,University of Wollongong
Complutense University of Madrid,,qs,Complutense University of Madrid
Loughborough University,,qs,Loughborough University
American University of Beirut (AUB),,qs,American University of Beirut (AUB)
Al-Farabi Kazakh National University,,qs,Al-Farabi Kazakh National University
Université Grenoble-Alpes,,qs,Université Grenoble-Alpes
University of Leicester,,qs,University of Leicester
Rheinische Friedrich-Wilhelms-Universität Bonn,,qs,Rheinische Friedrich-Wilhelms-Universität Bonn
Macquarie University,,qs,Macquarie University
Saint Petersburg State University,,qs,Saint Petersburg State University
Université Paris-Sud,,qs,Université Paris-Sud
National University of Ireland Galway,,qs,National University of Ireland Galway
Tufts University,,qs,Tufts University
Chulalongkorn University,,qs,Chulalongkorn University
Simon Fraser University,,qs,Simon Fraser University
Queensland University of Technology (QUT),,qs,Queensland University of Technology (QUT)
RMIT University,,qs,RMIT University
University of Massachusetts Amherst,,qs,University of Massachusetts Amherst
Novosibirsk State University,,qs,Novosibirsk State University
University of Tsukuba,,qs,University of Tsukuba
University of Miami,,qs,University of Miami
Universiti Teknologi Malaysia,,qs,Universiti Teknologi Malaysia
Universidad Nacional de Colombia,,qs,Universidad Nacional de Colombia
Universität Frankfurt am Main,,qs,Universität Frankfurt am Main
Beijing Normal University,,qs,Beijing Normal University
Kyung Hee University,,qs,Kyung Hee University
Universidad de los Andes,,qs,Universidad de los Andes
Norwegian University of Science And Technology,,qs,Norwegian University of Science And Technology
Royal Holloway University of London,,qs,Royal Holloway University of London
Universität Stuttgart,,qs,Universität Stuttgart
Curtin University,,qs,Curtin University
North Carolina State University,,qs,North Carolina State University
Indian Institute of Technology Madras (IITM),,qs,Indian Institute of Technology Madras (IITM)
National Taiwan University of Science and Technology (Taiwan Tech),,qs,National Taiwan University of Science and Technology (Taiwan Tech)
Universiti Sains Malaysia (USM),,qs,Universiti Sains Malaysia (USM)
University of Surrey,,qs,University of Surrey
King Abdulaziz University (KAU),,qs,King Abdulaziz University (KAU)
University of Dundee,,qs,University of Dundee
Université Paris 1 Panthéon-Sorbonne,,qs,Université Paris 1 Panthéon-Sorbonne
Ecole des Ponts ParisTech,,qs,Ecole des Ponts ParisTech
University of Navarra,,qs,University of Navarra
Technische Universität Darmstadt,,qs,Technische Universität Darmstadt
University of East Anglia (UEA),,qs,University of East Anglia (UEA)
Universitat Politècnica de Catalunya,,qs,Universitat Politècnica de Catalunya
University of Turku,,qs,University of Turku
Universitas Indonesia,,qs,Universitas Indonesia
University of Strathclyde,,qs,University of Strathclyde
Dalhousie University,,qs,Dalhousie University
University of South Australia,,qs,University of South Australia
Universidad Carlos III de Madrid (UC3M),,qs,Universidad Carlos III de Madrid (UC3M)
Wuhan University,,qs,Wuhan University
Rutgers University - New Brunswick,,qs,Rutgers University - New Brunswick
University College Cork,,qs,University College Cork
University of Gothenburg,,qs,University of Gothenburg
Universität Innsbruck,,qs,Universität Innsbruck
Linköping University,,qs,Linköping University
Friedrich-Alexander-Universität Erlangen-Nürnberg,,qs,Friedrich-Alexander-Universität Erlangen-Nürnberg
National Taiwan Normal University,,qs,National Taiwan Normal University
University of Ottawa,,qs,University of Ottawa
Bauman Moscow State Technical University,,qs,Bauman Moscow State Technical University
University of Waikato,,qs,University of Waikato
Deakin University,,qs,Deakin University
Indian Institute of Technology Kanpur (IITK),,qs,Indian Institute of Technology Kanpur (IITK)
Université Paris-Sorbonne (Paris IV),,qs,Université Paris-Sorbonne (Paris IV)
SOAS University of London,,qs,SOAS University of London
Università di Padova,,qs,Università di Padova
Universitat Pompeu Fabra,,qs,Universitat Pompeu Fabra
Ewha Womans University,,qs,Ewha Womans University
Hong Kong Baptist University,,qs,Hong Kong Baptist University
"University of California, Santa Cruz",,qs,"University of California, Santa Cruz"
University of Porto,,qs,University of Porto
Université de Strasbourg,,qs,Université de Strasbourg
Indiana University Bloomington,,qs,Indiana University Bloomington
Université Diderot  Paris 7,,qs,Université Diderot  Paris 7
University of Lisbon,,qs,University of Lisbon
Politecnico di Torino,,qs,Politecnico di Torino
"Birkbeck, University of London",,qs,"Birkbeck, University of London"
Indian Institute of Technology Kharagpur (IIT-KGP),,qs,Indian Institute of Technology Kharagpur (IIT-KGP)
Westfälische Wilhelms-Universität Münster,,qs,Westfälische Wilhelms-Universität Münster
Universidade Federal do Rio de Janeiro,,qs,Universidade Federal do Rio de Janeiro
Heriot-Watt University,,qs,Heriot-Watt University
University of Tasmania,,qs,University of Tasmania
Charles University,,qs,Charles University
University of Tartu,,qs,University of Tartu
Massey University,,qs,Massey University
Tongji University,,qs,Tongji University
University at Buffalo SUNY,,qs,University at Buffalo SUNY
Lincoln University,,qs,Lincoln University
Sun Yat-sen University,,qs,Sun Yat-sen University
Université de Liège,,qs,Université de Liège
Hiroshima University,,qs,Hiroshima University
Tomsk State University,,qs,Tomsk State University
"University of California, Riverside",,qs,"University of California, Riverside"
Griffith University,,qs,Griffith University
Harbin Institute of Technology,,qs,Harbin Institute of Technology
University of Milan,,qs,University of Milan
The Katz School at Yeshiva University,,qs,The Katz School at Yeshiva University
National Yang Ming University,,qs,National Yang Ming University
Ecole Normale Supérieure de Cachan,,qs,Ecole Normale Supérieure de Cachan
Bandung Institute of Technology (ITB),,qs,Bandung Institute of Technology (ITB)
Universidad Austral,,qs,Universidad Austral
University of Cologne,,qs,University of Cologne
Belarusian State University,,qs,Belarusian State University
Mahidol University,,qs,Mahidol University
L.N. Gumilyov Eurasian National University (ENU),,qs,L.N. Gumilyov Eurasian National University (ENU)
Universidad de Belgrano,,qs,Universidad de Belgrano
Umea University,,qs,Umea University
Boston College,,qs,Boston College
Gwangju Institute of Science and Technology (GIST),,qs,Gwangju Institute of Science and Technology (GIST)
Universität Jena,,qs,Universität Jena
University of Hawai'i at Mañoa,,qs,University of Hawai'i at Mañoa
"City, University of London",,qs,"City, University of London"
Nankai University,,qs,Nankai University
Xi’an Jiaotong University,,qs,Xi’an Jiaotong University
Brunel University London,,qs,Brunel University London
Northeastern University,,qs,Northeastern University
University of Victoria,,qs,University of Victoria
University of Essex,,qs,University of Essex
Qatar University,,qs,Qatar University
Universiti Brunei Darussalam (UBD),,qs,Universiti Brunei Darussalam (UBD)
Kobe University,,qs,Kobe University
Ben Gurion University of The Negev,,qs,Ben Gurion University of The Negev
George Washington University,,qs,George Washington University
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),,qs,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech)
"Université Paris-Dauphine, PSL Research University",,qs,"Université Paris-Dauphine, PSL Research University"
Tilburg University,,qs,Tilburg University
University Ulm,,qs,University Ulm
University of Jyväskylä,,qs,University of Jyväskylä
La Trobe University,,qs,La Trobe University
Oxford Brookes University,,qs,Oxford Brookes University
Stellenbosch University,,qs,Stellenbosch University
Universidade Nova de Lisboa,,qs,Universidade Nova de Lisboa
Pontificia Universidad Católica Argentina,,qs,Pontificia Universidad Católica Argentina
Rensselaer Polytechnic Institute,,qs,Rensselaer Polytechnic Institute
University of Witwatersrand,,qs,University of Witwatersrand
James Cook University,,qs,James Cook University
Tokyo Medical and Dental University (TMDU),,qs,Tokyo Medical and Dental University (TMDU)
University of the Philippines,,qs,University of the Philippines
University of Tromsø The Arctic University of Norway,,qs,University of Tromsø The Arctic University of Norway
Virginia Polytechnic Institute and State University,,qs,Virginia Polytechnic Institute and State University
University of St.Gallen (HSG),,qs,University of St.Gallen (HSG)
Aston University,,qs,Aston University
Moscow State Institute of International Relations (MGIMO University),,qs,Moscow State Institute of International Relations (MGIMO University)
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),,qs,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute)
Universitat Politècnica de València,,qs,Universitat Politècnica de València
University of Kent,,qs,University of Kent
Laval University,,qs,Laval University
Aalborg University,,qs,Aalborg University
Tampere University of Technology,,qs,Tampere University of Technology
Université de Montpellier,,qs,Université de Montpellier
National Research University Higher School of Economics (HSE University),,qs,National Research University Higher School of Economics (HSE University)
"Stony Brook University, State University of New York",,qs,"Stony Brook University, State University of New York"
University of Southern Denmark,,qs,University of Southern Denmark
Universität Konstanz,,qs,Universität Konstanz
National Research Tomsk Polytechnic University,,qs,National Research Tomsk Polytechnic University
University of Kansas,,qs,University of Kansas
National Sun Yat-sen University,,qs,National Sun Yat-sen University
Universität Mannheim,,qs,Universität Mannheim
United Arab Emirates University,,qs,United Arab Emirates University
Dublin City University,,qs,Dublin City University
National Central University,,qs,National Central University
University of Utah,,qs,University of Utah
"University of Colorado, Denver",,qs,"University of Colorado, Denver"
The American University in Cairo,,qs,The American University in Cairo
Illinois Institute of Technology,,qs,Illinois Institute of Technology
HUFS - Hankuk (Korea) University of Foreign Studies,,qs,HUFS - Hankuk (Korea) University of Foreign Studies
"Goldsmiths, University of London",,qs,"Goldsmiths, University of London"
Johannes Gutenberg Universität Mainz,,qs,Johannes Gutenberg Universität Mainz
Taipei Medical University,,qs,Taipei Medical University
Leibniz Universität Hannover,,qs,Leibniz Universität Hannover
National Technical University of Athens,,qs,National Technical University of Athens
Peter the Great Saint-Petersburg Polytechnic University,,qs,Peter the Great Saint-Petersburg Polytechnic University
Ruhr-Universität Bochum,,qs,Ruhr-Universität Bochum
Universidad Externado de Colombia,,qs,Universidad Externado de Colombia
Gadjah Mada University,,qs,Gadjah Mada University
University of Coimbra,,qs,University of Coimbra
V. N. Karazin Kharkiv National University,,qs,V. N. Karazin Kharkiv National University
Vilnius University,,qs,Vilnius University
Washington State University,,qs,Washington State University
University of Stirling,,qs,University of Stirling
American University of Sharjah,,qs,American University of Sharjah
Arabian Gulf University,,qs,Arabian Gulf University
Brandeis University,,qs,Brandeis University
Kazakh National Research Technical University after K.I.Satpayev,,qs,Kazakh National Research Technical University after K.I.Satpayev
Taras Shevchenko National University of Kyiv,,qs,Taras Shevchenko National University of Kyiv
Universidad de Costa Rica,,qs,Universidad de Costa Rica
Aix-Marseille University,,qs,Aix-Marseille University
University of Oulu,,qs,University of Oulu
University of Warsaw,,qs,University of Warsaw
Wake Forest University,,qs,Wake Forest University
Bilkent University,,qs,Bilkent University
Hitotsubashi University,,qs,Hitotsubashi University
Shanghai University,,qs,Shanghai University
Swinburne University of Technology,,qs,Swinburne University of Technology
The University of Georgia,,qs,The University of Georgia
University of Pisa,,qs,University of Pisa
University of Connecticut,,qs,University of Connecticut
University of Delaware,,qs,University of Delaware
University of Iowa,,qs,University of Iowa
University of Texas Dallas,,qs,University of Texas Dallas
Bond University,,qs,Bond University
Christian-Albrechts-University zu Kiel,,qs,Christian-Albrechts-University zu Kiel
Concordia University,,qs,Concordia University
Florida State University,,qs,Florida State University
Indian Institute of Technology Roorkee (IITR),,qs,Indian Institute of Technology Roorkee (IITR)
Koc University,,qs,Koc University
National University of Sciences And Technology (NUST) Islamabad,,qs,National University of Sciences And Technology (NUST) Islamabad
Pontificia Universidad Católica del Perú,,qs,Pontificia Universidad Católica del Perú
Swansea University,,qs,Swansea University
Universidad de Palermo (UP),,qs,Universidad de Palermo (UP)
Xiamen University,,qs,Xiamen University
Auckland University of Technology (AUT),,qs,Auckland University of Technology (AUT)
Bangor University,,qs,Bangor University
Kazan (Volga region) Federal University,,qs,Kazan (Volga region) Federal University
Oregon State University,,qs,Oregon State University
Singapore Management University,,qs,Singapore Management University
Sogang University,,qs,Sogang University
University of Trento,,qs,University of Trento
Université Paris Descartes,,qs,Université Paris Descartes
York University,,qs,York University
Beijing Institute of Technology,,qs,Beijing Institute of Technology
Institut National des Sciences Appliquées de Lyon (INSA),,qs,Institut National des Sciences Appliquées de Lyon (INSA)
Khalifa University,,qs,Khalifa University
Sultan Qaboos University,,qs,Sultan Qaboos University
Tulane University,,qs,Tulane University
Universidad de Santiago de Chile (USACH),,qs,Universidad de Santiago de Chile (USACH)
University of Eastern Finland,,qs,University of Eastern Finland
University of Saskatchewan,,qs,University of Saskatchewan
"The University of Tennessee, Knoxville",,qs,"The University of Tennessee, Knoxville"
Jagiellonian University,,qs,Jagiellonian University
Martin-Luther-Universität Halle-Wittenberg,,qs,Martin-Luther-Universität Halle-Wittenberg
Pontificia Universidad Javeriana,,qs,Pontificia Universidad Javeriana
Sabanci University,,qs,Sabanci University
Universidad de Zaragoza,,qs,Universidad de Zaragoza
University of Florence,,qs,University of Florence
"University of Rome ""Tor Vergata""",,qs,"University of Rome ""Tor Vergata"""
Universität Potsdam,,qs,Universität Potsdam
University of New Mexico,,qs,University of New Mexico
Wayne State University,,qs,Wayne State University
American University,,qs,American University
Dongguk University,,qs,Dongguk University
Huazhong University of Science and Technology,,qs,Huazhong University of Science and Technology
Iowa State University,,qs,Iowa State University
Johannes Kepler University Linz,,qs,Johannes Kepler University Linz
Karl-Franzens-Universitaet Graz,,qs,Karl-Franzens-Universitaet Graz
King Khalid University,,qs,King Khalid University
Middle East Technical University,,qs,Middle East Technical University
Sharif University of Technology,,qs,Sharif University of Technology
Tianjin University,,qs,Tianjin University
Aberystwyth University,,qs,Aberystwyth University
Cairo University,,qs,Cairo University
Chang Gung University,,qs,Chang Gung University
Colorado State University,,qs,Colorado State University
Julius-Maximilians-Universität Würzburg,,qs,Julius-Maximilians-Universität Würzburg
Renmin (People's) University of China,,qs,Renmin (People's) University of China
Università Cattolica del Sacro Cuore,,qs,Università Cattolica del Sacro Cuore
University of Naples - Federico II,,qs,University of Naples - Federico II
Universität Bremen,,qs,Universität Bremen
University of Delhi,,qs,University of Delhi
"University of Maryland, Baltimore County",,qs,"University of Maryland, Baltimore County"
Bogaziçi Üniversitesi,,qs,Bogaziçi Üniversitesi
Czech Technical University in Prague,,qs,Czech Technical University in Prague
Jilin University,,qs,Jilin University
Abai Kazakh National Pedagogical University,,qs,Abai Kazakh National Pedagogical University
Universidad Politécnica de Madrid,,qs,Universidad Politécnica de Madrid
Pusan National University,,qs,Pusan National University
UNESP,,qs,UNESP
Saint Joseph University of Beirut (USJ),,qs,Saint Joseph University of Beirut (USJ)
University of Guelph,,qs,University of Guelph
Ural Federal University,,qs,Ural Federal University
Amirkabir University of Technology,,qs,Amirkabir University of Technology
Aristotle University of Thessaloniki,,qs,Aristotle University of Thessaloniki
Chiba University,,qs,Chiba University
Chonbuk National University,,qs,Chonbuk National University
City University of New York,,qs,City University of New York
Clark University,,qs,Clark University
Drexel University,,qs,Drexel University
East China Normal University,,qs,East China Normal University
Indian Institute of Technology Guwahati (IITG),,qs,Indian Institute of Technology Guwahati (IITG)
"Kingston University, London",,qs,"Kingston University, London"
Lappeenranta University of Technology,,qs,Lappeenranta University of Technology
Lehigh University,,qs,Lehigh University
Auezov South Kazakhstan State University (SKSU),,qs,Auezov South Kazakhstan State University (SKSU)
Murdoch University,,qs,Murdoch University
"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",,qs,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute"""
The National University of Science and Technology MISIS,,qs,The National University of Science and Technology MISIS
Okayama University,,qs,Okayama University
RUDN University,,qs,RUDN University
Pontifícia Universidade Católica de São Paulo,,qs,Pontifícia Universidade Católica de São Paulo
Pontifícia Universidade Católica do Rio de Janeiro,,qs,Pontifícia Universidade Católica do Rio de Janeiro
Southeast University,,qs,Southeast University
Syracuse University,,qs,Syracuse University
Technische Universität Braunschweig,,qs,Technische Universität Braunschweig
Graz University of Technology,,qs,Graz University of Technology
The Catholic University of Korea,,qs,The Catholic University of Korea
University of Granada,,qs,University of Granada
Universidad de Montevideo (UM),,qs,Universidad de Montevideo (UM)
Universidade Federal de São Paulo,,qs,Universidade Federal de São Paulo
Universidade Federal do Rio Grande Do Sul,,qs,Universidade Federal do Rio Grande Do Sul
Universität des Saarlandes,,qs,Universität des Saarlandes
University of Hohenheim,,qs,University of Hohenheim
Universität  Leipzig,,qs,Universität  Leipzig
Universität Regensburg,,qs,Universität Regensburg
Université Claude Bernard Lyon 1,,qs,Université Claude Bernard Lyon 1
University of Bordeaux,,qs,University of Bordeaux
Université de Fribourg,,qs,Université de Fribourg
Université du Québec,,qs,Université du Québec
Université Paul Sabatier Toulouse III,,qs,Université Paul Sabatier Toulouse III
University of Aveiro,,qs,University of Aveiro
University of Baghdad,,qs,University of Baghdad
