name,country,qs_rank,ti_rank,sh_rank,rank,iso2,region,continent,invRank,intRank,rankGroup,keylocation
Ewha Womans University,Republic of Korea,299,,450.5,374.75,KR,East Asia,Asia,0.00266844563042028,375,300-400,loc_484
Tampere University of Technology,Finland,380,,,380,FI,Northern Europe,Europe,0.002631578947368421,380,300-400,loc_485
Heriot-Watt University,UK,312,,450.5,381.25,GB,Northern Europe,Europe,0.002622950819672131,381,300-400,loc_486
National Research University – Higher School of Economics,Russian Federation,382,,,382,RU,Eastern Europe,Europe,0.002617801047120419,382,300-400,loc_487
Brandeis University,USA,415.5,,350.5,383,US,North America,Americas,0.0026109660574412533,383,300-400,loc_488
University of Warsaw,Poland,415.5,,350.5,383,PL,Eastern Europe,Europe,0.0026109660574412533,383,300-400,loc_489
National Research Tomsk Polytechnic University,Russian Federation,386,,,386,RU,Eastern Europe,Europe,0.0025906735751295338,386,300-400,loc_490
National Sun Yat-sen University,"Taiwan, Province of China",388,,,388,TW,East Asia,Asia,0.002577319587628866,388,300-400,loc_491
Swinburne University of Technology,Australia,425.5,,350.5,388,AU,Australia and New Zealand,Oceania,0.002577319587628866,388,300-400,loc_492
University of Connecticut,USA,425.5,,350.5,388,US,North America,Americas,0.002577319587628866,388,300-400,loc_493
United Arab Emirates University,United Arab Emirates,390,,,390,AE,Middle East,Asia,0.002564102564102564,390,300-400,loc_494
Dublin City University,Ireland,391,,,391,IE,Northern Europe,Europe,0.0025575447570332483,391,300-400,loc_495
National Central University,"Taiwan, Province of China",391,,,391,TW,East Asia,Asia,0.0025575447570332483,391,300-400,loc_496
Xiamen University,China,435.5,,350.5,393,CN,East Asia,Asia,0.002544529262086514,393,300-400,loc_497
The American University in Cairo,Egypt,395,,,395,EG,North Africa,Africa,0.002531645569620253,395,300-400,loc_498
Illinois Institute of Technology,USA,395,,,395,US,North America,Americas,0.002531645569620253,395,300-400,loc_499
HUFS - Hankuk (Korea) University of Foreign Studies,Republic of Korea,397,,,397,KR,East Asia,Asia,0.0025188916876574307,397,300-400,loc_500
