name,country,qs_rank,ti_rank,sh_rank,rank,iso2,region,continent,invRank,intRank,rankGroup,keylocation
Erasmus University Rotterdam,Netherlands,147,72,73,97.33333333333333,NL,Western Europe,Europe,0.010273972602739727,97, 50-100,loc_93
Delft University of Technology,Netherlands,54,63,175.5,97.5,NL,Western Europe,Europe,0.010256410256410256,98, 50-100,loc_94
Aarhus University,Denmark,119,109,65,97.66666666666667,DK,Northern Europe,Europe,0.010238907849829351,98, 50-100,loc_95
University of Paris VI: Pierre-and-Marie-Curie University,France,131,123,40,98,FR,Western Europe,Europe,0.01020408163265306,98, 50-100,loc_96
The University of Western Australia,Australia,93,111,91,98.33333333333333,AU,Australia and New Zealand,Oceania,0.01016949152542373,98, 50-100,loc_97
Lund University,Sweden,78,93,125.5,98.83333333333333,SE,Northern Europe,Europe,0.010118043844856662,99, 50-100,loc_98
Nagoya University,Japan,116,,84,100,JP,East Asia,Asia,0.01,100, 50-100,loc_99
Ghent University,Belgium,125,107,69,100.33333333333333,BE,Western Europe,Europe,0.009966777408637875,100,100-200,loc_100
Tohoku University,Japan,76,,125.5,100.75,JP,East Asia,Asia,0.009925558312655087,101,100-200,loc_101
University of Pittsburgh,USA,142,100,68,103.33333333333333,US,North America,Americas,0.00967741935483871,103,100-200,loc_102
University of Sheffield,UK,82,104,125.5,103.83333333333333,GB,Northern Europe,Europe,0.009630818619582666,104,100-200,loc_103
Wageningen University & Research,Netherlands,124,64,125.5,104.5,NL,Western Europe,Europe,0.009569377990430622,104,100-200,loc_104
Free University of Berlin,Germany,125,88,,106.5,DE,Western Europe,Europe,0.009389671361502348,106,100-200,loc_105
The Hong Kong University of Science and Technology,Hong Kong,30,44,250.5,108.16666666666667,HK,East Asia,Asia,0.009244992295839752,108,100-200,loc_106
University of Colorado Boulder,USA,182,100,43,108.33333333333333,US,North America,Americas,0.009230769230769232,108,100-200,loc_107
"University of California, Irvine",USA,164,99,64,109,US,North America,Americas,0.009174311926605505,109,100-200,loc_108
University of Alberta,Canada,90,119,125.5,111.5,CA,North America,Americas,0.008968609865470852,112,100-200,loc_109
University of Basel,Switzerland,149,95,95,113,CH,Western Europe,Europe,0.008849557522123894,113,100-200,loc_110
University of Southampton,UK,102,126,,114,GB,Northern Europe,Europe,0.008771929824561403,114,100-200,loc_111
University of Malaya,Malaysia,114,,,114,MY,South East Asia,Asia,0.008771929824561403,114,100-200,loc_112
Tokyo Institute of Technology,Japan,56,,175.5,115.75,JP,East Asia,Asia,0.008639308855291577,116,100-200,loc_113
University of Oslo,Norway,142,146,62,116.66666666666667,NO,Northern Europe,Europe,0.008571428571428572,117,100-200,loc_114
University of Birmingham,UK,84,141,125.5,116.83333333333333,GB,Northern Europe,Europe,0.008559201141226819,117,100-200,loc_115
University of Science and Technology of China,China,97,132,125.5,118.16666666666667,CN,East Asia,Asia,0.008462623413258109,118,100-200,loc_116
University of Nottingham,UK,84,147,125.5,118.83333333333333,GB,Northern Europe,Europe,0.008415147265077139,119,100-200,loc_117
