key,type
1124,Teaching only
1125,Teaching only
1126,Teaching only
1127,Teaching only
1128,Teaching only
1129,Teaching only
1130,Teaching only
1131,Teaching only
1132,Teaching only
1133,Teaching only
1134,Teaching only
1135,Teaching only
1136,Teaching only
1137,Teaching only
1138,Teaching only
1139,Teaching only
1140,Teaching only
1141,Teaching only
1142,Teaching only
1143,Teaching only
1144,Teaching only
1145,Teaching only
1146,Teaching only
1147,Teaching only
1148,Teaching only
1149,Teaching only
1150,Teaching only
1151,Teaching only
1152,Teaching only
1153,Teaching only
1154,Teaching only
1155,Teaching only
1156,Teaching only
1157,Teaching only
1158,Teaching only
1159,Teaching only
1160,Teaching only
1161,Teaching only
1162,Teaching only
1163,Teaching only
1164,Teaching only
1165,Teaching only
1166,Teaching only
1167,Teaching only
1168,Teaching only
1169,Teaching only
1170,Teaching only
1171,Teaching only
1172,Teaching only
1173,Teaching only
1174,Teaching only
1175,Teaching only
1176,Teaching only
1177,Teaching only
1178,Teaching only
1179,Teaching only
1180,Teaching only
1181,Teaching only
1182,Teaching only
1183,Teaching only
1184,Teaching only
1185,Teaching only
1186,Teaching only
1187,Teaching only
1188,Teaching only
1189,Teaching only
1190,Teaching only
1191,Teaching only
1192,Teaching only
1193,Teaching only
1194,Teaching only
1195,Teaching only
1196,Teaching only
1197,Teaching only
1198,Teaching only
1199,Teaching only
1200,Teaching only
1201,Teaching only
1202,Teaching only
1203,Teaching only
1204,Teaching only
1205,Teaching only
1206,Teaching only
1207,Teaching only
1208,Teaching only
1209,Teaching only
1210,Teaching only
1211,Teaching only
1212,Teaching only
1213,Teaching only
1214,Teaching only
1215,Teaching only
1216,Teaching only
1217,Teaching only
1218,Teaching only
1219,Teaching only
1220,Teaching only
1221,Teaching only
1222,Teaching only
1223,Teaching only
1224,Teaching only
1225,Teaching only
1226,Teaching only
1227,Teaching only
1228,Teaching only
1229,Teaching only
1230,Teaching only
1231,Teaching only
1232,Teaching only
1233,Teaching only
1234,Teaching only
1235,Teaching only
1236,Teaching only
1237,Teaching only
1238,Teaching only
1239,Teaching only
1240,Teaching only
1241,Teaching only
1242,Teaching only
1243,Teaching only
1244,Teaching only
1245,Teaching only
1246,Teaching only
1247,Teaching only
1248,Teaching only
1249,Teaching only
1250,Teaching only
1251,Teaching only
1252,Teaching only
1253,Teaching only
1254,Teaching only
1255,Teaching only
1256,Teaching only
1257,Teaching only
1258,Teaching only
1259,Teaching only
1260,Teaching only
1261,Teaching only
1262,Teaching only
1263,Teaching only
1264,Teaching only
1265,Teaching only
1266,Teaching only
1267,Teaching only
1268,Teaching only
1269,Teaching only
1270,Teaching only
1271,Teaching only
1272,Teaching only
1273,Teaching only
1274,Teaching only
1275,Teaching only
1276,Teaching only
1277,Teaching only
1278,Teaching only
1279,Teaching only
1280,Teaching only
1281,Teaching only
1282,Teaching only
1283,Teaching only
1284,Teaching only
1285,Teaching only
1286,Teaching only
1287,Teaching only
1288,Teaching only
1289,Teaching only
1290,Teaching only
1291,Teaching only
1292,Teaching only
1293,Teaching only
1294,Teaching only
1295,Teaching only
