name,country,average rank,continent,invRank,intRank,ranking,rank
University of Michigan,USA,22,Americas,0.045454545454545456,22,Shanghai ranking 2017,24
Northwestern University,USA,23.333333333333332,Americas,0.04285714285714286,23,Shanghai ranking 2017,22
University of Toronto,Canada,25.333333333333332,Americas,0.03947368421052632,25,Shanghai ranking 2017,23
University of Edinburgh,UK,27.333333333333332,Europe,0.03658536585365854,27,Shanghai ranking 2017,32
"University of California, San Diego",USA,28,Americas,0.03571428571428571,28,Shanghai ranking 2017,15
University of Tokyo,Japan,32.666666666666664,Asia,0.030612244897959186,33,Shanghai ranking 2017,24
University of Washington,USA,33,Americas,0.030303030303030304,33,Shanghai ranking 2017,13
Tsinghua University,China,34.333333333333336,Asia,0.029126213592233007,34,Shanghai ranking 2017,48
King's College London,UK,35,Europe,0.02857142857142857,35,Shanghai ranking 2017,46
New York University,USA,36,Americas,0.027777777777777776,36,Shanghai ranking 2017,29
University of Melbourne,Australia,37.333333333333336,Oceania,0.026785714285714284,37,Shanghai ranking 2017,39
University of British Columbia,Canada,38.666666666666664,Americas,0.025862068965517244,39,Shanghai ranking 2017,31
École polytechnique fédérale de Lausanne,Switzerland,42,Europe,0.023809523809523808,42,Shanghai ranking 2017,76
University of Manchester,UK,42,Europe,0.023809523809523808,42,Shanghai ranking 2017,38
University of Wisconsin–Madison,USA,42,Americas,0.023809523809523808,42,Shanghai ranking 2017,28
National University of Singapore,Singapore,42.666666666666664,Asia,0.0234375,43,Shanghai ranking 2017,91
Peking University,China,45.333333333333336,Asia,0.022058823529411763,45,Shanghai ranking 2017,71
McGill University,Canada,47,Americas,0.02127659574468085,47,Shanghai ranking 2017,67
University of Illinois at Urbana–Champaign,USA,47.666666666666664,Americas,0.02097902097902098,48,Shanghai ranking 2017,37
Kyoto University,Japan,48.333333333333336,Asia,0.020689655172413793,48,Shanghai ranking 2017,35
Carnegie Mellon University,USA,50.333333333333336,Americas,0.01986754966887417,50,Shanghai ranking 2017,80
Technical University of Munich,Germany,51.666666666666664,Europe,0.01935483870967742,52,Shanghai ranking 2017,50
Heidelberg University,Germany,51.666666666666664,Europe,0.01935483870967742,52,Shanghai ranking 2017,42
Ludwig Maximilian University of Munich,Germany,52.333333333333336,Europe,0.01910828025477707,52,Shanghai ranking 2017,57
Australian National University,Australia,55,Oceania,0.01818181818181818,55,Shanghai ranking 2017,97
University of Queensland,Australia,55.666666666666664,Oceania,0.017964071856287425,56,Shanghai ranking 2017,55
University of Texas at Austin,USA,55.666666666666664,Americas,0.017964071856287425,56,Shanghai ranking 2017,51
University of North Carolina at Chapel Hill,USA,56.333333333333336,Americas,0.01775147928994083,56,Shanghai ranking 2017,33
Washington University in St. Louis,USA,56.666666666666664,Americas,0.01764705882352941,57,Shanghai ranking 2017,20
University of Bristol,UK,60.333333333333336,Europe,0.016574585635359115,60,Shanghai ranking 2017,61
Georgia Institute of Technology,USA,62.666666666666664,Americas,0.01595744680851064,63,Shanghai ranking 2017,85
