lat,lon,name,qs_rank,ti_rank,sh_rank,rank,invRank,EN,DE,FR,IT,ES,PT,RU,ZH,JA,AR
34.403123,132.714908,Hiroshima University,322,-,350.5,340,0.002973977695167286,Japan,Japan,Japon,Giappone,Japón,Japão,Япония,日本,日本,اليابان
-34.564198,-58.443664,University of Belgrano,337,-,-,340,0.002967359050445104,Argentina,Argentinien,Argentine,Argentina,Argentina,Argentina,Аргентина,阿根廷,アルゼンチン,الأرجنتين
-27.5550897,153.0532585,Griffith University,325,-,350.5,340,0.0029607698001480384,Australia,Australien,Australie,Australia,Australia,Austrália,Австралия,澳大利亚,オーストラリア,أستراليا
33.9480053,-83.3773221,The University of Georgia,425.5,-,250.5,340,0.0029585798816568047,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
43.7167235,10.3988593,University of Pisa,425.5,-,250.5,340,0.0029585798816568047,Italy,Italien,Italie,Italia,Italia,Itália,Италия,意大利,イタリア,إيطاليا
32.9857619,-96.7500993,University of Texas at Dallas,425.5,-,250.5,340,0.0029585798816568047,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
42.3351179,-71.1664609,Boston College,339,-,-,340,0.0029498525073746312,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
35.2272692,126.8407202,Gwangju Institute of Science and Technology,339,-,-,340,0.0029498525073746312,Republic of Korea,Republik Korea,République de Corée,Corea del Sud,República de Corea,República da Coreia,Республика Корея,韩国,大韓民国,كوريا
51.5278249,-0.1025445,"City, University of London",343,-,-,340,0.0029154518950437317,United Kingdom,Vereinigtes Königreich,Royaume-Uni,Regno Unito,Reino Unido,Reino Unido,Британия,英国,英国,المملكة المتحدة
30.4418778,-84.2984889,Florida State University,435.5,-,250.5,340,0.0029154518950437317,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
63.8205484,20.3036711,Umeå University,338,-,350.5,340,0.002904865649963689,Sweden,Schweden,Suède,Svezia,Suecia,Suécia,Швеция,瑞典,スウェーデン,السويد
